file,year,suggested_category,confidence,score_mid1,score_mid2,score_final
./assets/analytical_chem/analytical2/107(mid1+mid2+final).pdf,2018,unknown,0,12,12,12
./assets/analytical_chem/analytical2/assistant/ch1_20210304.pdf,2021,unknown,0,0,0,0
./assets/analytical_chem/analytical2/assistant/ch1_20210304.pptx,2021,unknown,0,0,0,0
./assets/analytical_chem/analytical2/assistant/ch10_20210408.pdf,2021,unknown,0,0,0,0
./assets/analytical_chem/analytical2/assistant/ch10_20210408.pptx,2021,unknown,0,0,0,0
./assets/analytical_chem/analytical2/assistant/ch13_15.pdf,unknown,unknown,0,0,0,0
./assets/analytical_chem/analytical2/assistant/ch13_15.pptx,unknown,unknown,0,0,0,0
./assets/analytical_chem/analytical2/assistant/ch15_1.pdf,unknown,unknown,0,0,0,0
./assets/analytical_chem/analytical2/assistant/ch15_1.pptx,unknown,unknown,0,0,0,0
./assets/analytical_chem/analytical2/assistant/ch2_3_20210311.pdf,2021,unknown,0,0,0,0
./assets/analytical_chem/analytical2/assistant/ch4_1.pdf,unknown,unknown,0,0,0,0
./assets/analytical_chem/analytical2/assistant/ch4_1.pptx,unknown,unknown,0,0,0,0
./assets/analytical_chem/analytical2/assistant/ch5_9_20210325.pdf,2021,unknown,0,0,0,0
./assets/analytical_chem/analytical2/assistant/ch5_9_20210325.pptx,2021,unknown,0,0,0,0
./assets/analytical_chem/analytical2/assistant/chapter_20_26.pdf,unknown,unknown,0,0,0,0
./assets/analytical_chem/analytical2/assistant/chapter_20_26.pptx,unknown,unknown,0,0,0,0
./assets/analytical_chem/analytical2/assistant/chapter_26_27.pdf,unknown,unknown,0,0,0,0
./assets/analytical_chem/analytical2/assistant/chapter_26_27.pptx,unknown,unknown,0,0,0,0
./assets/analytical_chem/analytical2/assistant/chapter_28.pdf,unknown,unknown,0,0,0,0
./assets/analytical_chem/analytical2/assistant/chapter_28.pptx,unknown,unknown,0,0,0,0
./assets/analytical_chem/analytical2/assistant/l15_l16_20210506.pdf,2021,unknown,0,0,0,0
./assets/analytical_chem/analytical2/assistant/l15_l16_20210506.pptx,2021,unknown,0,0,0,0
./assets/analytical_chem/analytical2/assistant/l9.pdf,unknown,unknown,0,0,0,0
./assets/analytical_chem/analytical2/assistant/l9.pptx,unknown,unknown,0,0,0,0
./assets/analytical_chem/analytical2/final/108-final.pdf,2019,final,12,0,0,12
./assets/analytical_chem/analytical2/final/110-final.pdf,2021,final,12,0,0,12
./assets/analytical_chem/analytical2/final/111-final.pdf,2022,final,12,0,0,12
./assets/analytical_chem/analytical2/final/112-final.pdf,2023,final,12,0,0,12
./assets/analytical_chem/analytical2/final/113-final.pdf,2024,final,12,0,0,12
./assets/analytical_chem/analytical2/mid1/108-midterm1.pdf,2019,mid1,12,12,0,0
./assets/analytical_chem/analytical2/mid1/109-midterm1.pdf,2020,mid1,12,12,0,0
./assets/analytical_chem/analytical2/mid1/110-midterm1.pdf,2021,mid1,12,12,0,0
./assets/analytical_chem/analytical2/mid1/111-midterm1.pdf,2022,mid1,12,12,0,0
./assets/analytical_chem/analytical2/mid1/112-midterm1.pdf,2023,mid1,12,12,0,0
./assets/analytical_chem/analytical2/mid1/113-midterm1.pdf,2024,mid1,12,12,0,0
./assets/analytical_chem/analytical2/mid2/108-midterm2.pdf,2019,mid2,12,0,12,0
./assets/analytical_chem/analytical2/mid2/109-midterm2.pdf,2020,mid2,12,0,12,0
./assets/analytical_chem/analytical2/mid2/110-midterm2.pdf,2021,mid2,12,0,12,0
./assets/analytical_chem/analytical2/mid2/111-midterm2.pdf,2022,mid2,12,0,12,0
./assets/analytical_chem/analytical2/mid2/112-midterm2.pdf,2023,mid2,12,0,12,0
./assets/analytical_chem/analytical2/mid2/113-midterm2.pdf,2024,mid2,12,0,12,0
./assets/analytical_chem/analytical2/quiz/class21/quiz_01.docx,2020,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class21/quiz_01.pdf,2020,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class21/quiz_02.docx,2020,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class21/quiz_02.pdf,2020,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class21/quiz_03.docx,2020,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class21/quiz_03.pdf,2020,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class21/quiz_04.docx,2020,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class21/quiz_04.pdf,2020,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class21/quiz_05.docx,2020,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class21/quiz_05.pdf,2020,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class21/quiz_06.docx,2020,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class21/quiz_06.pdf,2020,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class21/quiz_07.docx,2020,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class21/quiz_07.pdf,2020,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class21/quiz_08.docx,2020,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class21/quiz_08.pdf,2020,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class22/quiz_16th_march_2021_answers.docx,2021,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class22/quiz_16th_march_2021_answers.pdf,2021,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class22/quiz_9th_march_2021_answers.docx,2021,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class22/quiz_9th_march_2021_answers.pdf,2021,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class23/quiz_12th_apr_2022_answers.docx,2022,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class23/quiz_12th_apr_2022_answers.pdf,2022,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class23/quiz_19th_apr_2022_answers.docx,2022,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class23/quiz_19th_apr_2022_answers.pdf,2022,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class23/quiz_1st_march_2022_answers.docx,2022,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class23/quiz_1st_march_2022_answers.pdf,2022,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class23/quiz_26th_apr_2022_answers.docx,2022,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class23/quiz_26th_apr_2022_answers.pdf,2022,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class23/quiz_7th_apr_2022_answers.docx,2022,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class23/quiz_7th_apr_2022_answers.pdf,2022,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class23/quiz_8th_march_2022_answers.docx,2022,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class23/quiz_8th_march_2022_answers.pdf,2022,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class25/quiz_12th_march_2024_answers.docx,2024,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class25/quiz_12th_march_2024_answers.pdf,2024,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class25/quiz_14th_may_2024_answers_1.docx,2024,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class25/quiz_14th_may_2024_answers_1.pdf,2024,unknown,0,0,0,0
./assets/analytical_chem/analytical2/quiz/class25/quiz_14th_may_2024_answers.docx,2024,unknown,0,0,0,0
